afghanistan,afraid,army,battle,combat,conflict,cyber,cybersecurity,enemies,enemy,fear,fears,fight,fights,force,fought,genocide,iran,iraq,isis,israel,jihad,korea,length,marine,marines,militant,military,missile,missiles,navy,nuclear,president,proxy,qaeda,russia,soldier,soldiers,soviet,struggle,taliban,terror,terrorism,terrorist,terrorists,threat,threaten,threatens,threats,trench,trenches,troop,troops,ussr,vietnam,war,warfare,wars,wartime,year
0.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14025.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,Buchanan,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,1860.0
0.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11438.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,Buren,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0,1.0,0.0,1837.0
0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11478.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,Buren,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,1.0,0.0,0.0,1838.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13419.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Buren,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,1839.0
0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8979.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,Buren,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,1840.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4821.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,Bush,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1989.0
0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3770.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,Bush,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,1990.0
0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,3765.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,Bush,0.0,0.0,0.0,1.0,0.0,5.0,9.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1991.0
0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4718.0,0.0,0.0,0.0,1.0,8.0,6.0,0.0,4.0,Bush,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1992.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4395.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,Bush,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2001.0
13.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,7.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3824.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,Bush,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,36.0,3.0,20.0,10.0,7.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,2002.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,7.0,1.0,6.0,0.0,0.0,3.0,22.0,1.0,1.0,0.0,7.0,5372.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,12.0,Bush,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,22.0,3.0,13.0,7.0,17.0,2.0,1.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,19.0,1.0,0.0,0.0,2003.0
5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,2.0,5171.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,Bush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,1.0,14.0,10.0,7.0,1.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,2004.0
3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,6.0,0.0,8.0,0.0,0.0,3.0,27.0,0.0,2.0,0.0,1.0,5049.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,Bush,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,1.0,12.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,2005.0
2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,5.0,1.0,13.0,0.0,7.0,1.0,1.0,6.0,16.0,1.0,1.0,0.0,1.0,5321.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,Bush,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,3.0,11.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,2006.0
4.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,4.0,10.0,1.0,1.0,10.0,0.0,17.0,0.0,0.0,5.0,34.0,0.0,1.0,0.0,2.0,5598.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,Bush,0.0,10.0,2.0,1.0,1.0,0.0,7.0,2.0,22.0,0.0,17.0,14.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,2007.0
