"","year","asylum","border","borders","canada","citizen","citizens","citizenship","cross","crossing","cuba","customs","deport","deportation","deportations","deported","detain","detained","documented","emigration","ethnic","foreign","foreigner","hispanic","illegal","immigrant","immigrants","immigrate","immigration","labor","laborers","latin","latino","mexican","mexico","migrant","migrants","minorities","minority","naturalization","naturalized","racial","racism","racist","refugee","refugees","separate","separated","undocumented","immigration_total","percent_immigration","afghanistan","afraid","army","battle","combat","conflict","cyber","cybersecurity","enemies","enemy","fear","fears","fight","fights","force","fought","genocide","iran","iraq","isis","israel","jihad","korea","marine","marines","militant","military","missile","missiles","navy","nuclear","proxy","qaeda","russia","soldier","soldiers","soviet","struggle","taliban","terror","terrorism","terrorist","terrorists","threat","threaten","threatens","threats","trench","trenches","troop","troops","ussr","vietnam","war","warfare","wars","wartime","war_total","percent_war","billionaire","billionaires","cash","class","consumer","consumers","crash","crashes","debt","demand","downturn","economic","economics","economy","employment","exchange","finance","financial","gdp","goods","growth","inflation","job","jobs","loan","loans","market","markets","millionaire","millionaires","paycheck","paychecks","pension","pensions","pocketbook","poor","poverty","price","prices","recession","retire","retirement","rich","saving","stock","stocks","tax","taxes","trade","unemployed","unemployment","economy_total","percent_economy","president","party","against","american","change","child","crisis","faith","family","great","hope","together","unite","interesting_total","percent_interesting"
"11",1876,0,0,0,0,22,19,3,0,0,6,0,0,0,0,0,0,0,0,1,0,17,2,0,0,1,1,0,0,12,0,2,0,2,6,4,3,0,0,6,3,0,0,0,0,0,1,0,0,111,1.634035036,0,0,6,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,2,2,0,0,21,0,0,0,53,0.780214927,0,0,0,3,0,0,0,0,4,2,0,1,0,3,1,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,2,1,2,0,0,31,0.456352127,"Grant","Republican",11,5,9,1,0,1,0,15,2,3,47,94,1.383777418
"12",1877,0,9,2,0,15,13,1,1,1,2,4,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,4,0,1,0,6,7,1,1,0,0,1,1,0,0,0,0,0,0,0,0,79,0.985406012,0,0,10,1,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,18,0,0,0,58,0.723462642,0,0,0,4,0,0,0,0,13,4,0,0,0,0,3,3,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,3,0,0,10,5,10,0,0,67,0.835724086,"Hayes","Republican",6,7,10,0,0,6,0,22,3,0,28,82,1.022826494
"13",1878,0,3,1,0,18,14,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0.72325847,0,0,5,0,0,2,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,14,0,0,0,48,0.609059764,0,0,1,0,0,0,0,0,5,6,0,1,0,1,3,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,30,0.380662352,"Hayes","Republican",4,2,4,4,0,5,0,12,3,0,23,57,0.72325847
"14",1879,0,4,0,0,28,22,2,3,1,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,12,0,1,0,2,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,93,0.799518569,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,2,0,0,8,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,59,0.507221458,0,0,0,2,1,0,0,0,8,10,0,1,0,3,1,5,1,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,2,0,0,0,2,0,0,1,1,0,1,0,0,3,0,8,0,0,60,0.515818432,"Hayes","Republican",3,10,15,2,0,1,0,29,3,1,50,114,0.980055021
"15",1880,0,2,0,0,19,15,3,3,1,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,2,5,0,2,0,1,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,76,1.134836494,0,0,0,0,0,2,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0,0,0,29,0.433029715,0,0,0,2,0,0,0,0,1,6,0,1,0,1,1,2,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,35,0.52262207,"Hayes","Republican",5,7,3,0,0,3,1,16,5,3,29,72,1.075108257
"16",1881,0,1,0,0,7,6,0,4,0,0,2,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,1,1,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37,0.96807954,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,13,0,0,0,27,0.706436421,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,20,0.523286238,"Arthur","Republican",3,14,5,0,0,0,1,4,5,0,19,51,1.334379906
"17",1882,0,2,2,0,8,7,0,3,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,2,3,2,1,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,48,1.565047277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0.521682426,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,18,0.586892729,"Arthur","Republican",3,8,4,0,0,1,0,3,3,0,14,36,1.173785458
"18",1883,0,0,0,1,14,13,0,1,1,3,3,1,1,0,0,0,0,0,0,0,9,2,0,1,1,1,0,1,1,0,0,0,3,7,2,2,0,0,1,0,0,0,0,0,0,0,0,0,69,1.82346723,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,27,0.713530655,0,0,1,4,0,0,0,0,4,3,0,0,0,0,1,2,0,1,0,0,0,0,0,0,8,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,1,0,5,0,7,0,0,46,1.21564482,"Arthur","Republican",5,6,4,0,0,2,1,2,2,0,16,38,1.00422833
"19",1884,0,1,1,0,17,16,3,2,0,3,2,0,0,0,0,0,0,0,0,0,19,2,0,0,1,1,0,1,5,0,2,0,2,2,1,1,0,0,6,1,0,0,0,0,0,1,0,0,90,1.005923773,0,0,7,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,2,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,20,1,0,0,52,0.581200402,0,0,0,2,0,0,0,0,3,5,0,0,0,2,2,2,1,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,4,1,0,0,0,0,0,0,3,1,4,1,1,0,6,2,11,0,0,59,0.659438918,"Arthur","Republican",6,17,7,2,0,1,0,9,5,3,29,79,0.882977534
"20",1885,0,1,1,2,43,35,11,6,0,1,7,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,3,14,3,16,0,0,10,0,0,0,0,6,2,0,0,0,0,0,1,0,0,183,0.926769979,0,0,13,1,0,2,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,4,1,0,0,10,0,0,15,0,0,0,3,5,4,0,1,0,0,0,0,0,5,5,1,0,0,0,3,3,0,0,44,0,0,0,138,0.698875722,0,0,0,9,2,1,0,0,8,7,0,3,0,3,3,2,1,3,0,0,1,0,0,0,0,0,2,2,0,0,0,0,5,2,0,2,0,6,1,0,0,0,2,6,4,3,5,0,8,1,0,92,0.465917148,"Cleveland","Democratic",23,19,18,6,0,8,3,25,11,2,70,185,0.936898612
